Station Name,Street Address,PlugShare Adress,City,State,ZIP,EV Network,EV Network (for NON-Networked),Latitude,Longitude,ID,EV L2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,PlugShare Info,Combo P,CHAdeMO P,Combo P (network),CHAdeMO P (network),Combo #,CHAdeMO #,Notes,Notes from Network's website,FixedChargingPrice,ChargingUnit,ChargingValue ($),FixedParkingPrice,ParkingUnit,ParkingValue,Nissan==Free,Limit (min),Maximum Price ($),
"Walmart 2596 - Mount Vernon, WA",2301 Freeway Dr. null,,Mount Vernon,WA,98273,Electrify America,,48.44174,-122.344757,123004,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Target T2290 - Renton, WA",1215 N Landing Way,,Renton,WA,98057,Electrify America,,47.497292,-122.199295,123050,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Target T0338 - Lynnwood, WA",18305 Alderwood Mall Pkwy,,Lynnwood,WA,98037,Electrify America,,47.831991,-122.267332,123446,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Walmart 3531 - Lacey, WA",1401 Galaxy Dr. NE,,Lacey,WA,98516,Electrify America,,47.059659,-122.77201,123479,,6,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Walmart 5073 - Covington, WA",17432 SE 270th PL null,,Covington,WA,98042,Electrify America,,47.360982,-122.110209,124057,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Seattle Premium Outlets,10600 Quil Ceda Blvd.,,Tulalip,WA,98271,Electrify America,,48.095461,-122.186896,124683,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Three Rivers Mall,351 Three Rivers Dr.,,Kelso,WA,98626,Electrify America,,46.139875,-122.901263,124684,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Walmart 4137 - Tacoma, WA",1965 S Union Ave.,,Tacoma,WA,98405,Electrify America,,47.239472,-122.480252,135872,1,3,CHADEMO J1772 J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
"Walmart 2269 - Yakima, WA",1600 East Chestnut Ave.,,Yakima,WA,98901,Electrify America,,46.60252,-120.47924,136697,,4,CHADEMO J1772COMBO,,"$1 plus $0.89/min at 125kW or more, $0.58/min between 125kW and 75kW, $0.21/min at 75kW or less. Pass+ pricing: $0.60/min at 125kW or more, $0.42/min between 125kW and 75kW, $0.15/min at 75kW or less. 40 cents per minute additional if car not moved ten minutes after session ends. See https://www.electrifyamerica.com/pricing for details.",,,,,,,,,1,min,0.25,0,min,0,0,,,
Whole Foods Bellingham,1030 Lakeway Dr,,Bellingham,WA,98229,eVgo Network,,48.74393,-122.461854,138537,,2,CHADEMO J1772COMBO,,Only info: Nissan No Charge To Charge,,,50,50,,,,,0,min,0.29,0,min,0,1 (LEAF ONLY),45,,
